evaluation_source,system,sample_id,episode_return
NeoRL dataset trajectories,Original Behavior,245,-283002.90625
NeoRL dataset trajectories,Original Behavior,246,-283199.84375
NeoRL dataset trajectories,Original Behavior,247,-282492.0
NeoRL dataset trajectories,Original Behavior,248,-283603.15625
NeoRL dataset trajectories,Original Behavior,249,-282409.34375
NeoRL dataset trajectories,Original Behavior,250,-283338.5625
NeoRL dataset trajectories,Original Behavior,251,-280870.75
NeoRL dataset trajectories,Original Behavior,252,-282848.25
NeoRL dataset trajectories,Original Behavior,253,-283729.4375
NeoRL dataset trajectories,Original Behavior,254,-283145.09375
NeoRL dataset trajectories,Original Behavior,255,-283441.46875
NeoRL dataset trajectories,Original Behavior,256,-282846.15625
NeoRL dataset trajectories,Original Behavior,257,-282183.65625
NeoRL dataset trajectories,Original Behavior,258,-283835.5625
NeoRL dataset trajectories,Original Behavior,259,-282755.5
NeoRL dataset trajectories,Original Behavior,260,-282360.0
NeoRL dataset trajectories,Original Behavior,261,-282401.15625
NeoRL dataset trajectories,Original Behavior,262,-280620.25
NeoRL dataset trajectories,Original Behavior,263,-280603.96875
NeoRL dataset trajectories,Original Behavior,264,-282691.84375
NeoRL dataset trajectories,Original Behavior,265,-283096.5625
NeoRL dataset trajectories,Original Behavior,266,-282758.375
NeoRL dataset trajectories,Original Behavior,267,-282175.71875
NeoRL dataset trajectories,Original Behavior,268,-282414.625
NeoRL dataset trajectories,Original Behavior,269,-281773.1875
NeoRL dataset trajectories,Original Behavior,270,-283274.71875
NeoRL dataset trajectories,Original Behavior,271,-282880.8125
NeoRL dataset trajectories,Original Behavior,272,-282940.9375
NeoRL dataset trajectories,Original Behavior,273,-282804.1875
NeoRL dataset trajectories,Original Behavior,274,-283634.34375
NeoRL dataset trajectories,Original Behavior,275,-283505.4375
NeoRL dataset trajectories,Original Behavior,276,-282603.75
NeoRL dataset trajectories,Original Behavior,277,-282728.3125
NeoRL dataset trajectories,Original Behavior,278,-282731.375
NeoRL dataset trajectories,Original Behavior,279,-282011.0
NeoRL dataset trajectories,Original Behavior,280,-283025.375
NeoRL dataset trajectories,Original Behavior,281,-282924.1875
NeoRL dataset trajectories,Original Behavior,282,-281807.15625
NeoRL dataset trajectories,Original Behavior,283,-283984.625
NeoRL dataset trajectories,Original Behavior,284,-282680.875
NeoRL dataset trajectories,Original Behavior,285,-283011.5
NeoRL dataset trajectories,Original Behavior,286,-283081.125
NeoRL dataset trajectories,Original Behavior,287,-283106.84375
NeoRL dataset trajectories,Original Behavior,288,-282373.09375
NeoRL dataset trajectories,Original Behavior,289,-283572.0
NeoRL dataset trajectories,Original Behavior,290,-282380.78125
NeoRL dataset trajectories,Original Behavior,291,-278179.4375
NeoRL dataset trajectories,Original Behavior,292,-282630.6875
NeoRL dataset trajectories,Original Behavior,293,-282798.6875
NeoRL dataset trajectories,Original Behavior,294,-283482.5625
NeoRL dataset trajectories,Original Behavior,295,-282642.15625
NeoRL dataset trajectories,Original Behavior,296,-283105.9375
NeoRL dataset trajectories,Original Behavior,297,-283070.25
NeoRL dataset trajectories,Original Behavior,298,-282912.34375
NeoRL dataset trajectories,Original Behavior,299,-283661.0625
NeoRL dataset trajectories,Original Behavior,300,-282333.6875
NeoRL dataset trajectories,Original Behavior,301,-282887.84375
NeoRL dataset trajectories,Original Behavior,302,-282274.75
NeoRL dataset trajectories,Original Behavior,303,-283309.875
NeoRL dataset trajectories,Original Behavior,304,-282603.75
NeoRL dataset trajectories,Original Behavior,305,-282792.03125
NeoRL dataset trajectories,Original Behavior,306,-283320.375
NeoRL dataset trajectories,Original Behavior,307,-282197.0625
NeoRL dataset trajectories,Original Behavior,308,-283246.375
NeoRL dataset trajectories,Original Behavior,309,-283118.28125
NeoRL dataset trajectories,Original Behavior,310,-282516.25
NeoRL dataset trajectories,Original Behavior,311,-282915.0625
NeoRL dataset trajectories,Original Behavior,312,-282312.5625
NeoRL dataset trajectories,Original Behavior,313,-282847.6875
NeoRL dataset trajectories,Original Behavior,314,-283015.8125
NeoRL dataset trajectories,Original Behavior,315,-282531.4375
NeoRL dataset trajectories,Original Behavior,316,-282081.25
NeoRL dataset trajectories,Original Behavior,317,-282125.90625
NeoRL dataset trajectories,Original Behavior,318,-282920.875
NeoRL dataset trajectories,Original Behavior,319,-282947.3125
NeoRL dataset trajectories,Original Behavior,320,-282635.6875
NeoRL dataset trajectories,Original Behavior,321,-282064.25
NeoRL dataset trajectories,Original Behavior,322,-281242.5625
NeoRL dataset trajectories,Original Behavior,323,-283098.0
NeoRL dataset trajectories,Original Behavior,324,-283387.625
NeoRL dataset trajectories,Original Behavior,325,-284092.6875
NeoRL dataset trajectories,Original Behavior,326,-286896.75
NeoRL dataset trajectories,Original Behavior,327,-283872.1875
NeoRL dataset trajectories,Original Behavior,328,-284528.4375
NeoRL dataset trajectories,Original Behavior,329,-283377.78125
NeoRL dataset trajectories,Original Behavior,330,-283493.5
NeoRL dataset trajectories,Original Behavior,331,-282642.3125
NeoRL dataset trajectories,Original Behavior,332,-283018.875
NeoRL dataset trajectories,Original Behavior,333,-282657.75
NeoRL dataset trajectories,Original Behavior,334,-283238.0
NeoRL dataset trajectories,Original Behavior,335,-282582.6875
NeoRL dataset trajectories,Original Behavior,336,-283292.875
NeoRL dataset trajectories,Original Behavior,337,-283078.15625
NeoRL dataset trajectories,Original Behavior,338,-283896.6875
NeoRL dataset trajectories,Original Behavior,339,-284021.625
NeoRL dataset trajectories,Original Behavior,340,-282972.09375
NeoRL dataset trajectories,Original Behavior,341,-282911.0
NeoRL dataset trajectories,Original Behavior,342,-282397.375
